id,x,y,betweenness,closeness,degree
0,323.51279360198805,-1594.7693493056472,0.0,0.08265139116202946,0.009900990099009901
1,397.70644958011826,-1433.133170210435,0.02190852656694238,0.09001782531194295,0.0297029702970297
2,339.3312729557888,-1412.5116981812193,0.012600956763329533,0.08859649122807017,0.0297029702970297
3,287.69854501998793,-1395.8069920843427,0.018230847087988576,0.08573853989813243,0.0297029702970297
4,234.54720743901657,-1376.0650666971246,0.03776240412538671,0.08171521035598706,0.0297029702970297
5,210.24945311628676,-1371.509237761613,0.020792079207920793,0.07634164777021919,0.0297029702970297
6,185.951698793557,-1366.9534088261012,0.0,0.07097680955727337,0.009900990099009901
7,362.1104176333479,-1363.9161895357597,0.040843058750341804,0.09591642924976258,0.039603960396039604
8,311.99629934271775,-1342.6556545033714,0.050834662958613996,0.0925756186984418,0.039603960396039604
9,264.91940034242873,-1318.3579001806415,0.057318594574804295,0.08790252393385553,0.039603960396039604
10,223.91693992282228,-1287.9857072772293,0.02319618541271198,0.0821806346623271,0.0297029702970297
11,216.3238916969692,-1304.690413374106,0.0035643564356435645,0.07651515151515151,0.019801980198019802
12,418.2989745046606,-1388.2139438584895,0.03818793641170235,0.09758454106280193,0.0297029702970297
13,245.02944241837068,-1243.9919686994047,0.029477084149095965,0.08759757155247182,0.0297029702970297
14,288.8266550421147,-1268.2488864602474,0.07140317465106877,0.09412861136999068,0.039603960396039604
15,337.34049056380036,-1290.4843944076868,0.0783883824097975,0.09950738916256158,0.039603960396039604
16,386.5281293566206,-1314.067508897395,0.0679431641969747,0.10337768679631525,0.039603960396039604
17,441.106194318517,-1342.367246285045,0.056527897199116134,0.10531803962460896,0.0297029702970297
18,267.26495036580997,-1196.825739719988,0.03300863919335177,0.09291628334866606,0.0297029702970297
19,312.40976953182303,-1219.7350509385617,0.08130951091328802,0.1002979145978153,0.039603960396039604
20,360.24980178237416,-1241.970558886001,0.1009821585178138,0.10642781875658588,0.039603960396039604
21,408.08983403292535,-1267.575083189113,0.09430588646012246,0.11086717892425905,0.039603960396039604
22,460.64648918141813,-1293.8534107633593,0.07745615407184574,0.11310190369540873,0.0297029702970297
23,291.5218681266528,-1147.6381009271677,0.033856693771918876,0.0979631425800194,0.0297029702970297
24,336.66668729266587,-1171.8950186880106,0.08623644669212074,0.10620399579390116,0.039603960396039604
25,381.1377031875444,-1194.8043299065844,0.11768559524731638,0.11310190369540873,0.039603960396039604
