id,x,y,count
65,427.63012889582654,-1103.167085032289,903
66,451.21324338553484,-1053.9794462394689,233
66,499.05327563608597,-1077.5625607291772,233
67,499.05327563608597,-1077.5625607291772,704
67,475.4701611463777,-1126.7501995219973,704
68,499.05327563608597,-1077.5625607291772,4
68,548.9147177000407,-1103.8408883034235,4
69,548.9147177000407,-1103.8408883034235,502
69,523.3101933969288,-1149.659510740571,502
70,356.88078542670155,-1007.4870205311868,72
70,379.79009664527536,-960.9945948229047,72
71,379.79009664527536,-960.9945948229047,61
71,426.28252235355745,-983.230102770344,61
72,426.28252235355745,-983.230102770344,289
72,401.3518013215801,-1029.722528478626,289
73,426.28252235355745,-983.230102770344,339
73,473.4487513329741,-1006.8132172600523,339
74,473.4487513329741,-1006.8132172600523,51
74,451.21324338553484,-1053.9794462394689,51
75,473.4487513329741,-1006.8132172600523,395
75,521.2887835835252,-1031.0701350208951,395
76,521.2887835835252,-1031.0701350208951,1602
76,499.05327563608597,-1077.5625607291772,1602
77,521.2887835835252,-1031.0701350208951,66
77,567.7812092918073,-1053.9794462394689,66
78,567.7812092918073,-1053.9794462394689,523
78,548.9147177000407,-1103.8408883034235,523
79,379.79009664527536,-960.9945948229047,34
79,402.0256045927146,-909.7855462166809,34
80,402.0256045927146,-909.7855462166809,67
80,450.5394401144003,-934.7162672486583,67
81,450.5394401144003,-934.7162672486583,44
81,426.28252235355745,-983.230102770344,44
82,450.5394401144003,-934.7162672486583,148
82,495.68425928041336,-957.6255784672321,148
83,495.68425928041336,-957.6255784672321,26
83,473.4487513329741,-1006.8132172600523,26
84,495.68425928041336,-957.6255784672321,193
84,544.198094802099,-983.9039060414785,193
85,544.198094802099,-983.9039060414785,1948
85,521.2887835835252,-1031.0701350208951,1948
86,544.198094802099,-983.9039060414785,2140
86,588.6691106969776,-1006.1394139889178,2140
87,588.6691106969776,-1006.1394139889178,540
87,567.7812092918073,-1053.9794462394689,540
88,588.6691106969776,-1006.1394139889178,2597
88,637.8567494897978,-921.2402018259677,2597
89,350.8165559864908,-781.0891214299868,101
89,342.7309167328765,-878.1167924733581,101
90,350.8165559864908,-781.0891214299868,536
90,362.9450148669122,-767.6130560072966,536
91,362.9450148669122,-767.6130560072966,467
91,358.9021952401051,-704.2755485206512,467
92,358.9021952401051,-704.2755485206512,101
92,478.83917750205023,-713.7087943165346,101
93,358.9021952401051,-704.2755485206512,403
93,350.81655598649076,-623.4191559845085,403
94,350.81655598649076,-623.4191559845085,101
94,218.75111484412417,-631.5047952381227,101
95,350.81655598649076,-623.4191559845085,132
95,474.7963578752431,-600.5098447659346,132
96,474.7963578752431,-600.5098447659346,610
96,519.2673737701217,-644.9808606608133,610
97,519.2673737701217,-644.9808606608133,675
97,660.7660607083716,-740.6609251619155,675
98,660.7660607083716,-740.6609251619155,118
98,563.7383896650002,-865.9883335929369,118
